Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
2021;ALASKA;COD, PACIFIC;330,404,171;149,87;116,766,003;Commercial;Gadus macrocephalus;164711;AKFIN
2021;CONNECTICUT;COD, ATLANTIC;2,277;1;5,031;Commercial;Gadus morhua;164712;ACCSP
2021;CONNECTICUT;COD, ATLANTIC;7,921;4;;Recreational;;164712;MRIP
2021;DELAWARE;COD, ATLANTIC;18;0;;Recreational;;164712;MRIP
2021;MAINE;COD, ATLANTIC;1,171;1;;Recreational;;164712;MRIP
2021;MAINE;COD, ATLANTIC;47,311;21;128,833;Commercial;Gadus morhua;164712;ACCSP
2021;MASSACHUSETTS;COD, ATLANTIC;1,201,132;545;2,619,925;Commercial;Gadus morhua;164712;ACCSP
2021;MASSACHUSETTS;COD, ATLANTIC;365,368;166;;Recreational;;164712;MRIP
2021;NEW HAMPSHIRE;COD, ATLANTIC;46,308;21;;Recreational;;164712;MRIP
2021;NEW HAMPSHIRE;COD, ATLANTIC;45,836;21;124,631;Commercial;Gadus morhua;164712;ACCSP
2021;NEW JERSEY;COD, ATLANTIC;90,687;41;;Recreational;;164712;MRIP
2021;NEW YORK;COD, ATLANTIC;3,954;2;12,245;Commercial;Gadus morhua;164712;ACCSP
2021;NEW YORK;COD, ATLANTIC;187,909;85;;Recreational;;164712;MRIP
2021;OREGON;COD, PACIFIC;2,205;1;781;Commercial;Gadus macrocephalus;164711;PACFIN
2021;OREGON;COD, PACIFIC;15;0;;Recreational;;164711;MRIP
2021;RHODE ISLAND;COD, ATLANTIC;47,671;22;;Recreational;;164712;MRIP
2021;RHODE ISLAND;COD, ATLANTIC;12,803;6;26,286;Commercial;Gadus morhua;164712;ACCSP
2021;WASHINGTON;COD, PACIFIC;3,305;1;;Recreational;;164711;MRIP
2021;WASHINGTON;COD, PACIFIC;69,446;32;37,853;Commercial;Gadus macrocephalus;164711;PACFIN
2020;ALASKA;COD, PACIFIC;;;;Recreational;;164711;MRIP
2020;ALASKA;COD, PACIFIC;380,338,622;172,52;166,344,712;Commercial;Gadus macrocephalus;164711;AKFIN
2020;CONNECTICUT;COD, ATLANTIC;4,492;2;7,735;Commercial;Gadus morhua;164712;ACCSP
2020;CONNECTICUT;COD, ATLANTIC;143;0;;Recreational;;164712;MRIP
2020;DELAWARE;COD, ATLANTIC;7;0;;Recreational;;164712;MRIP
2020;MAINE;COD, ATLANTIC;58,733;27;149,844;Commercial;Gadus morhua;164712;ACCSP
2020;MAINE;COD, ATLANTIC;3,111;1;;Recreational;;164712;MRIP
2020;MASSACHUSETTS;COD, ATLANTIC;8,900;4;;Recreational;;164712;MRIP
2020;MASSACHUSETTS;COD, ATLANTIC;1,468,781;666;3,184,861;Commercial;Gadus morhua;164712;ACCSP
2020;NEW HAMPSHIRE;COD, ATLANTIC;21,440;10;;Recreational;;164712;MRIP
2020;NEW HAMPSHIRE;COD, ATLANTIC;67,340;31;182,664;Commercial;Gadus morhua;164712;ACCSP
2020;NEW JERSEY;COD, ATLANTIC;48,667;22;;Recreational;;164712;MRIP
